YearsExperience,Salary,Industry,Education,Location,JobTitle,Gender,Age,SkillScore,PerformanceRating
2.8,87614.0,Manufacturing,PhD,Chicago,Senior Developer,Female,24,64.8,2
2.5,95021.0,Tech,PhD,Remote,Analyst,Female,21,62.5,4
4.8,114841.0,Finance,Master's,San Francisco,Director,Male,23,54.0,5
5.0,112104.0,Tech,Bachelor's,New York,Director,Female,28,51.8,3
0.2,69312.0,Manufacturing,Bachelor's,San Francisco,Senior Developer,Male,18,53.6,4
2.3,89617.0,Healthcare,High School,Los Angeles,Manager,Female,24,62.8,4
4.9,106351.0,Healthcare,Bachelor's,Chicago,Junior Developer,Male,28,55.1,3
3.5,100244.0,Tech,Associate,San Francisco,Manager,Female,26,65.9,4
9.7,121738.0,Education,Master's,Los Angeles,Analyst,Male,33,79.1,3
5.4,120268.0,Tech,Master's,Los Angeles,Manager,Male,28,48.9,4
0.9,90110.0,Government,PhD,Los Angeles,Analyst,Female,25,43.0,1
0.4,84764.0,Tech,Master's,Remote,VP,Male,20,49.2,4
5.1,111591.0,Tech,Associate,San Francisco,Mid Developer,Male,26,60.7,4
0.1,82989.0,Tech,Associate,Boston,Analyst,Male,21,44.9,1
4.4,97261.0,Finance,Master's,Austin,Junior Developer,Male,28,70.1,3
14.1,129069.0,Healthcare,Bachelor's,Los Angeles,Manager,Male,38,75.4,5
4.3,113097.0,Tech,Master's,Boston,Mid Developer,Male,27,56.8,3
2.5,76303.0,Education,Associate,Los Angeles,Junior Developer,Female,27,39.4,4
5.2,113169.0,Finance,Bachelor's,Boston,Lead Engineer,Male,25,44.6,5
3.1,98679.0,Healthcare,Master's,San Francisco,Senior Developer,Female,28,57.5,4
3.9,83976.0,Finance,Master's,Austin,Lead Engineer,Female,29,34.5,4
14.2,138251.0,Finance,PhD,Remote,Manager,Male,38,81.4,4
2.4,68220.0,Healthcare,Bachelor's,Remote,Junior Developer,Female,28,52.0,5
16.2,154214.0,Tech,PhD,New York,Mid Developer,Male,35,100.0,4
11.8,135772.0,Tech,Associate,San Francisco,Manager,Female,33,90.8,4
1.1,77141.0,Government,Bachelor's,New York,Senior Developer,Male,22,49.8,3
0.4,79158.0,Manufacturing,Bachelor's,Boston,VP,Male,24,49.5,5
0.5,95683.0,Finance,High School,Los Angeles,Director,Female,20,60.7,4
0.1,81384.0,Tech,Bachelor's,San Francisco,Data Scientist,Female,24,67.2,2
0.5,68729.0,Healthcare,Associate,Austin,Director,Female,25,34.4,5
5.7,115663.0,Finance,Master's,Los Angeles,Lead Engineer,Male,29,40.7,4
0.4,99871.0,Tech,Bachelor's,Boston,Director,Female,23,44.4,2
1.9,86300.0,Tech,Associate,Austin,Senior Developer,Male,22,58.7,4
9.3,118382.0,Education,Master's,Chicago,Senior Developer,Male,30,68.9,3
0.1,89212.0,Healthcare,Master's,Austin,Data Scientist,Male,25,60.8,5
8.4,111030.0,Tech,Bachelor's,San Francisco,Lead Engineer,Female,32,50.6,3
1.7,85028.0,Tech,Master's,Chicago,Data Scientist,Male,24,29.4,5
0.6,94777.0,Tech,Bachelor's,Boston,Data Scientist,Male,22,59.5,4
6.0,114580.0,Healthcare,Bachelor's,Los Angeles,Data Scientist,Female,24,50.7,2
5.0,101953.0,Tech,High School,Chicago,Analyst,Male,25,37.3,5
10.5,115511.0,Tech,Bachelor's,Boston,Lead Engineer,Male,36,67.2,4
6.6,120126.0,Education,Master's,San Francisco,Senior Developer,Male,26,67.8,3
8.1,106782.0,Tech,Bachelor's,Austin,Manager,Female,30,60.9,4
1.7,87679.0,Healthcare,PhD,New York,Senior Developer,Male,26,48.0,5
1.0,91589.0,Tech,Bachelor's,San Francisco,Manager,Male,20,49.9,3
6.9,118903.0,Tech,High School,Boston,Director,Female,29,56.6,3
8.2,119242.0,Tech,Master's,Remote,Director,Female,32,48.8,2
23.3,168809.0,Education,Bachelor's,New York,Senior Developer,Male,45,77.8,3
2.7,91066.0,Government,Bachelor's,Seattle,Mid Developer,Female,30,59.3,4
2.3,84388.0,Government,Bachelor's,Los Angeles,Lead Engineer,Female,21,56.7,4
7.5,118115.0,Finance,Master's,San Francisco,Mid Developer,Female,32,62.9,3
2.1,64844.0,Healthcare,Bachelor's,Chicago,Analyst,Male,24,43.2,3
13.4,129997.0,Tech,Associate,Boston,Senior Developer,Female,37,68.3,3
9.8,121621.0,Tech,Master's,Chicago,Mid Developer,Female,33,42.9,5
2.8,79732.0,Government,Bachelor's,San Francisco,Junior Developer,Male,23,56.0,3
6.9,114761.0,Tech,Master's,Seattle,Director,Male,29,74.6,5
7.0,110214.0,Tech,PhD,Los Angeles,Manager,Male,25,45.8,4
0.5,96794.0,Tech,Bachelor's,Chicago,Senior Developer,Male,24,44.9,3
11.6,141114.0,Tech,Bachelor's,New York,Junior Developer,Female,34,70.7,5
3.5,92224.0,Tech,Bachelor's,Boston,Senior Developer,Male,27,67.8,4
8.8,116133.0,Healthcare,PhD,New York,Senior Developer,Male,33,58.7,4
1.9,89378.0,Finance,Master's,Boston,Director,Female,25,45.9,5
11.3,119227.0,Government,Master's,San Francisco,Manager,Male,34,47.3,2
2.5,82760.0,Government,Associate,Remote,Senior Developer,Non-binary,23,54.8,2
0.1,75464.0,Finance,Associate,Seattle,Mid Developer,Male,21,70.6,4
11.8,122445.0,Tech,Master's,San Francisco,Consultant,Male,36,70.5,3
0.5,88632.0,Finance,Associate,New York,Lead Engineer,Male,25,50.5,3
1.9,93556.0,Healthcare,Bachelor's,San Francisco,Director,Male,23,56.1,1
15.0,132615.0,Tech,Bachelor's,Los Angeles,Mid Developer,Male,37,72.4,1
15.0,140063.0,Healthcare,Bachelor's,Remote,Lead Engineer,Female,35,64.4,4
4.3,93637.0,Finance,Bachelor's,Seattle,Junior Developer,Non-binary,29,64.7,2
5.0,102725.0,Healthcare,Master's,Seattle,Lead Engineer,Male,28,59.8,4
3.0,96713.0,Finance,High School,Boston,Consultant,Female,29,54.7,4
1.7,88241.0,Tech,Bachelor's,Los Angeles,Senior Developer,Female,22,42.8,3
2.0,86088.0,Manufacturing,Bachelor's,Chicago,Junior Developer,Female,23,66.0,1
5.6,95099.0,Education,Master's,Seattle,Junior Developer,Male,28,65.0,4
7.0,106478.0,Tech,High School,Seattle,Senior Developer,Male,30,55.0,1
7.8,103893.0,Government,Bachelor's,Boston,Mid Developer,Male,29,71.7,4
7.8,108217.0,Finance,Master's,New York,Junior Developer,Female,28,56.7,5
0.5,74586.0,Government,Bachelor's,Chicago,VP,Female,24,42.9,3
3.4,76881.0,Education,Bachelor's,Seattle,Lead Engineer,Male,27,47.5,4
0.3,75361.0,Finance,High School,Los Angeles,Senior Developer,Male,20,32.7,4
4.0,94971.0,Tech,High School,New York,Analyst,Female,29,60.7,3
2.9,89821.0,Tech,Bachelor's,Chicago,Junior Developer,Female,27,36.0,5
10.9,113588.0,Healthcare,High School,Austin,Consultant,Non-binary,33,54.1,5
2.2,86566.0,Healthcare,Master's,Chicago,Senior Developer,Female,24,32.5,3
0.6,89366.0,Tech,Associate,New York,Analyst,Male,24,50.0,4
0.8,92486.0,Tech,Master's,Chicago,Manager,Female,21,49.7,5
7.2,97862.0,Government,Master's,Chicago,Data Scientist,Female,29,57.5,5
4.8,85064.0,Manufacturing,Master's,Chicago,Consultant,Male,22,46.8,4
0.5,72264.0,Healthcare,Master's,Chicago,Senior Developer,Female,24,39.0,4
0.4,80272.0,Tech,Bachelor's,Boston,Consultant,Female,19,55.2,3
6.0,102035.0,Tech,Bachelor's,Los Angeles,Senior Developer,Male,31,53.5,5
0.4,80410.0,Tech,Bachelor's,San Francisco,Senior Developer,Female,22,53.8,2
8.6,101561.0,Manufacturing,PhD,Los Angeles,Senior Developer,Female,30,54.0,4
6.1,99781.0,Tech,Bachelor's,Austin,Manager,Female,27,61.0,3
0.4,85271.0,Healthcare,Master's,New York,Mid Developer,Male,22,63.6,3
0.4,88330.0,Tech,High School,New York,Manager,Male,25,56.5,3
21.6,157721.0,Healthcare,Bachelor's,Seattle,Manager,Female,39,78.3,5
2.3,85336.0,Healthcare,Master's,Los Angeles,VP,Male,27,56.0,2
2.3,78826.0,Government,Master's,Boston,Data Scientist,Female,25,51.0,4
8.4,112518.0,Tech,Associate,Los Angeles,Lead Engineer,Female,28,62.7,2
14.7,129323.0,Tech,Bachelor's,Austin,Senior Developer,Male,35,68.8,3
21.3,170975.0,Tech,Master's,Seattle,Mid Developer,Male,47,80.3,3
7.0,89563.0,Manufacturing,Associate,New York,Mid Developer,Male,27,62.6,4
2.4,82143.0,Government,High School,San Francisco,Junior Developer,Male,22,43.7,3
0.4,85629.0,Healthcare,Master's,Seattle,Senior Developer,Female,25,40.4,3
7.5,112271.0,Healthcare,Master's,New York,Senior Developer,Female,30,47.4,2
4.1,120024.0,Healthcare,Master's,San Francisco,Consultant,Female,24,40.1,3
2.8,93088.0,Tech,Associate,Chicago,Manager,Female,25,42.0,5
11.8,115058.0,Manufacturing,Master's,Boston,Senior Developer,Male,32,69.3,5
0.6,79666.0,Finance,Bachelor's,Remote,Manager,Female,25,42.0,3
3.4,74460.0,Finance,High School,Remote,Mid Developer,Female,28,60.2,4
0.1,78435.0,Healthcare,Master's,Chicago,Lead Engineer,Female,23,50.5,5
3.2,90946.0,Tech,Master's,Seattle,Manager,Female,26,35.1,1
0.3,89313.0,Tech,Bachelor's,Chicago,Lead Engineer,Male,26,57.0,5
0.6,74034.0,Education,Master's,Los Angeles,Senior Developer,Female,23,59.0,5
0.6,85796.0,Tech,Bachelor's,New York,Consultant,Male,20,41.0,2
5.2,96376.0,Healthcare,Master's,Seattle,Analyst,Male,28,62.0,3
6.9,122181.0,Tech,Bachelor's,Los Angeles,Manager,Male,33,51.8,5
4.4,98100.0,Finance,Master's,Seattle,Manager,Non-binary,24,57.6,4
16.4,155430.0,Tech,High School,Chicago,Manager,Female,38,62.0,1
2.3,94603.0,Finance,Bachelor's,Chicago,Mid Developer,Female,25,35.5,3
1.7,85467.0,Education,High School,San Francisco,Senior Developer,Female,24,48.7,3
10.1,126780.0,Tech,Master's,Seattle,Junior Developer,Female,30,63.9,4
1.3,86990.0,Healthcare,Associate,Seattle,Lead Engineer,Female,26,48.0,4
16.5,133429.0,Finance,PhD,New York,Manager,Male,43,62.9,5
0.1,80449.0,Healthcare,Master's,New York,Mid Developer,Male,22,46.2,3
17.5,152511.0,Manufacturing,PhD,Los Angeles,Consultant,Male,38,78.9,4
0.2,76719.0,Education,Associate,San Francisco,Analyst,Female,19,49.9,4
11.1,112788.0,Tech,Master's,Austin,VP,Female,34,68.5,3
3.8,99071.0,Tech,Bachelor's,San Francisco,Manager,Male,28,49.0,3
24.8,189123.0,Tech,Master's,Remote,Data Scientist,Male,48,98.9,5
0.4,91595.0,Healthcare,Associate,San Francisco,Mid Developer,Female,22,38.8,5
4.0,101754.0,Tech,PhD,Seattle,Data Scientist,Male,25,60.9,4
17.4,157482.0,Finance,PhD,Los Angeles,Mid Developer,Female,37,87.9,4
3.7,91028.0,Healthcare,Master's,Los Angeles,Data Scientist,Non-binary,27,60.4,3
5.0,87719.0,Finance,Associate,San Francisco,Senior Developer,Male,29,55.5,4
5.9,89574.0,Education,Bachelor's,Los Angeles,Analyst,Male,25,53.6,4
3.0,105753.0,Tech,Master's,Austin,Analyst,Female,28,64.9,4
4.9,96678.0,Tech,Bachelor's,Austin,Mid Developer,Female,28,43.1,5
4.4,91723.0,Education,Bachelor's,New York,Lead Engineer,Female,29,46.9,4
11.6,124631.0,Finance,Bachelor's,New York,Consultant,Non-binary,31,63.4,3
0.2,91143.0,Education,Bachelor's,Boston,Lead Engineer,Male,19,62.7,4
1.6,99438.0,Finance,Master's,Austin,Data Scientist,Male,23,56.2,3
15.0,158600.0,Tech,Bachelor's,Seattle,Manager,Female,38,62.8,3
11.0,118028.0,Government,Master's,Boston,Senior Developer,Female,37,63.4,3
3.0,88915.0,Education,Bachelor's,Boston,Senior Developer,Male,26,48.4,3
4.8,83657.0,Education,Bachelor's,San Francisco,Mid Developer,Female,26,50.1,4
1.6,98745.0,Tech,Bachelor's,Chicago,VP,Female,22,62.2,4
1.0,75158.0,Healthcare,Bachelor's,New York,Senior Developer,Male,25,37.8,4
3.1,96264.0,Finance,Master's,Boston,Lead Engineer,Male,23,70.7,4
2.2,83832.0,Tech,Master's,Boston,Lead Engineer,Female,27,61.6,3
4.4,87259.0,Manufacturing,Master's,Remote,Manager,Male,26,67.5,5
0.4,80872.0,Tech,Master's,New York,Data Scientist,Male,26,46.0,3
18.3,143127.0,Manufacturing,Bachelor's,New York,Consultant,Male,42,76.0,3
21.4,159357.0,Finance,Associate,San Francisco,Senior Developer,Female,43,67.8,4
